Date,Description,Amount
01/02/2026,SALARY DIRECT DEPOSIT,5200.00
01/03/2026,STARBUCKS COFFEE,-5.75
01/03/2026,WALMART SUPERCENTER,-67.43
01/04/2026,UBER EATS ORDER,-28.90
01/05/2026,NETFLIX SUBSCRIPTION,-15.99
01/05/2026,SHELL GAS STATION,-45.20
01/06/2026,RENT PAYMENT,-1200.00
01/07/2026,CHIPOTLE MEXICAN GRILL,-12.50
01/07/2026,AMAZON MARKETPLACE,-89.99
01/08/2026,TRADER JOE'S,-52.30
01/09/2026,SPOTIFY PREMIUM,-10.99
01/09/2026,CVS PHARMACY,-23.45
01/10/2026,UBER RIDE,-18.75
01/11/2026,ELECTRIC COMPANY PAYMENT,-95.00
01/11/2026,COMCAST INTERNET,-79.99
01/12/2026,AMC THEATERS,-32.00
01/13/2026,WHOLE FOODS MARKET,-78.60
01/14/2026,PLANET FITNESS,-24.99
01/15/2026,FREELANCE PAYMENT DEPOSIT,850.00
01/15/2026,DOORDASH ORDER,-22.15
01/16/2026,TARGET,-45.67
01/17/2026,BEST BUY ELECTRONICS,-199.99
01/18/2026,KROGER GROCERY,-63.20
01/19/2026,MCDONALD'S,-9.85
01/20/2026,INTEREST EARNED,2.50
01/20/2026,HOME DEPOT,-156.78
01/21/2026,VENMO TRANSFER,-50.00
01/22/2026,DUNKIN DONUTS,-7.25
01/23/2026,CHEVRON GAS,-52.10
01/24/2026,ADOBE CREATIVE CLOUD,-54.99
01/25/2026,WALGREENS PHARMACY,-18.90
01/26/2026,LYFT RIDE,-14.50
01/27/2026,COSTCO WHOLESALE,-145.30
01/28/2026,PANERA BREAD,-16.75
01/29/2026,PARKING GARAGE,-12.00
01/30/2026,ZELLE TRANSFER TO JOHN,-100.00
01/31/2026,WATER UTILITY BILL,-45.00
02/01/2026,SALARY DIRECT DEPOSIT,5200.00
02/02/2026,STARBUCKS COFFEE,-6.25
02/03/2026,WALMART SUPERCENTER,-82.15
02/04/2026,GRUBHUB ORDER,-35.40
02/05/2026,HULU SUBSCRIPTION,-17.99
02/05/2026,CHATGPT PLUS,-20.00
02/06/2026,RENT PAYMENT,-1200.00
02/07/2026,SUBWAY SANDWICH,-11.25
02/08/2026,SAFEWAY GROCERY,-71.80
02/09/2026,AMAZON PRIME MEMBERSHIP,-14.99
02/10/2026,DELTA AIRLINES,-342.00
02/11/2026,ELECTRIC COMPANY PAYMENT,-102.50
02/12/2026,BOWLING ALLEY,-28.00
